Airport_Code,Airport_Name,City_Name,Country_Name,Country_Code,Latitude,Longitude
BIN,Bamiyan,Bamiyan,Afghanistan,AF,34.8,67.816667
BST,Bost,Bost,Afghanistan,AF,31.55,64.366667
CCN,Chakcharan,Chakcharan,Afghanistan,AF,34.533333,65.266667
DAZ,Darwaz,Darwaz,Afghanistan,AF,38.466667,70.883333
FBD,Faizabad,Faizabad,Afghanistan,AF,37.083333,70.5
FAH,Farah,Farah,Afghanistan,AF,32.366667,62.166667
GRG,Gardez,Gardez,Afghanistan,AF,33.616667,69.116667
GZI,Ghazni,Ghazni,Afghanistan,AF,33,68.416667
HEA,Herat,Herat,Afghanistan,AF,34.183333,62.233333
JAA,Jalalabad,Jalalabad,Afghanistan,AF,34.4,70.5
KDH,Kandahar,Kandahar,Afghanistan,AF,31.5,65.85
KHT,Khost,Khost,Afghanistan,AF,33.333333,69.95
KWH,Khwahan,Khwahan,Afghanistan,AF,37.883333,70.2
KBL,Khwaja Rawash,Kabul,Afghanistan,AF,34.565833,69.212222
UND,Kunduz,Kunduz,Afghanistan,AF,36.65,68.883333
KUR,Kuran-O-Munjan,Kuran-O-Munjan,Afghanistan,AF,38.4,71.116667
MMZ,Maimana,Maimana,Afghanistan,AF,35.916667,64.733333
MZR,Mazar-i-sharif,Mazar-i-sharif,Afghanistan,AF,36.706944,67.209722
IMZ,Nimroz,Nimroz,Afghanistan,AF,31.1,61.933333
LQN,Qala Nau,Qala Nau,Afghanistan,AF,34.95,63.666667
SBF,Sardeh Band,Sardeh Band,Afghanistan,AF,33.297778,68.631667
SGA,Sheghnan,Sheghnan,Afghanistan,AF,38.033333,71.716667
TQN,Taluqan,Taluqan,Afghanistan,AF,36.5,69.5
TII,Tirinkot,Tirinkot,Afghanistan,AF,32.628611,65.8775
URZ,Uruzgan,Uruzgan,Afghanistan,AF,32.9,66.616667
ZAJ,Zaranj,Zaranj,Afghanistan,AF,31.1,61.883333
RDB,Red Dog,Red Dog,Alaska,US,68.032222,-162.899167
TIA,Rinas Mother Teresa,Tirana,Albania,AL,41.414722,19.720556
AZR,Adrar,Adrar,Algeria,DZ,27.883333,-0.283333
TMR,Aguemar,Tamanrasset,Algeria,DZ,37.063611,6.5275
OGX,Ain Beida,Ouargla,Algeria,DZ,31.916667,5.4
BUJ,Ain Eddis,Boussaada,Algeria,DZ,35.3325,4.206389
CZL,Ain El Bey,Constantine,Algeria,DZ,36.285278,6.619167
BLJ,Batna,Batna,Algeria,DZ,35.55,6.166667
BJA,Bejaia,Bejaia,Algeria,DZ,36.75,5.083333
BSK,Biskra,Biskra,Algeria,DZ,34.8,5.733333
BMW,Bordj Badji Mokhtar,Bordj Badji Mokhtar,Algeria,DZ,21.133333,1.066667
TID,Bouchekif Abde Al-hafidh Boussof,Tiaret,Algeria,DZ,14.1,-16.483333
ELG,Djamet,El Golea,Algeria,DZ,30.571389,2.859722
ORN,Es Senia,Oran,Algeria,DZ,35.616667,-0.616667
GBB,Gara Djebilet,Gara Djebilet,Algeria,DZ,26.15,-7.35
ELU,Guemar,El Oued,Algeria,DZ,33.516667,6.783333
ALG,Houari Boumediene,Algiers,Algeria,DZ,36.783333,3.05
VVZ,Illizi,Illizi,Algeria,DZ,26.483333,8.466667
IAM,In Amenas,In Amenas,Algeria,DZ,28.051667,9.642778
INZ,In Salah,In Salah,Algeria,DZ,27.25,2.516667
DJG,Inedbirenne,Djanet,Algeria,DZ,24.45,9.5
GJL,Jijel,Jijel,Algeria,DZ,36.8,5.883333
KDF,Kouba,Kouba,Algeria,DZ,7.8,15.65
CBH,Leger,Bechar,Algeria,DZ,31.65,-2.25
AAE,Les Salines,Annaba,Algeria,DZ,36.833333,8
MUW,Mascara,Mascara,Algeria,DZ,35.75,0.016667
MZW,Mechria,Mechria,Algeria,DZ,33.55,-0.283333
MQV,Mostaganem,Mostaganem,Algeria,DZ,43.247778,17.785556
INF,Newark Liberty International,In Guezzam,Algeria,DZ,19.566667,5.75
GHA,Noumerate,Ghardaia,Algeria,DZ,32.383333,3.816667
